RCV_TRANSACTION_ID,SN_TRANSACTION_ID,RCV_SOURCE_CODE,RCV_TRANSACTION_DATE,RSH_RECEIPT_NUM,MSI_ITEM_NUMBER,MSI_USE_TYPE,MSI_FA_CODE,RSL_ITEM_DESCRIPTION,MSI_SAT_CODE,MSI_ASSET_BADGEABLE_FLAG,MSI_ASSET_SERIABLE_FLAG,MSI_CFDI_USE,MIC_ITEM_CATEG_FAM,MIC_ITEM_CATEG_SUBFAM,FCB_ASSET_CATEG_DESCR,FCB_ASSET_CATEG,FCB_ASSET_SUBCATEG,FCB_ASSET_CATEG_FAM,FCB_ASSET_CATEG_FAKEY,RCV_QUANTITY,RCV_PO_UNIT_PRICE,RCV_CURRENCY_CODE,RCV_CURRENCY_CONVERSION_RATE,AP_ORG_COMPANY_NAME,AP_ORG_COMPANY_RFC,POL_ORACLE_CIA,POL_ORACLE_EF,POL_ORACLE_CR_SUPERIOR,POL_ORACLE_CR,POH_PO_NUMBER,PRA_RELEASE_NUM,ASU_VENDOR_NUMBER,ASU_VENDOR_NAME,RCV_INVOICE_NUM
66031030,,Directos,2026-02-06,414792,38960,04,V.65,MOTOR ELECTRICO 1/10 5SME59CLI2215AM,26101700,,,G01,C - REFACCIONES,CB - AIRE ACONDICIONADO Y REFRIGERACIÓN,MOTOR P/AHORRO ENERGIA CF,ME,47,003,V65,48,93.07,USD,17.2925,Cadena Comercial Oxxo S.A. De C.V.,CCO8605231N4,00099,03MTL,17FAA,31CCI,2417269,,UMS100217894,REGAL BELOIT DE MEXICO S DE RL DE CV,73041
66031058,,Directos,2026-02-06,414793,38961,04,V.65,MOTOR ELECTRICO 12W FBS12Y4EC4024L,26101700,,,G01,C - REFACCIONES,CB - AIRE ACONDICIONADO Y REFRIGERACIÓN,MOTOR P/AHORRO ENERGIA CF,ME,47,003,V65,12,42.28,USD,17.2925,Cadena Comercial Oxxo S.A. De C.V.,CCO8605231N4,00099,03MTL,17FAA,31CCI,2417269,,UMS100217894,REGAL BELOIT DE MEXICO S DE RL DE CV,73040
66031060,,Directos,2026-02-06,414793,38962,04,V.65,MOTOR ELECTRICO 1/15 5SME59BVA2070MS,26101700,,,G01,C - REFACCIONES,CB - AIRE ACONDICIONADO Y REFRIGERACIÓN,MOTOR P/AHORRO ENERGIA CF,ME,47,003,V65,60,82.84,USD,17.2925,Cadena Comercial Oxxo S.A. De C.V.,CCO8605231N4,00099,03MTL,17FAA,31CCI,2417269,,UMS100217894,REGAL BELOIT DE MEXICO S DE RL DE CV,73040
66031070,,Directos,2026-02-06,414794,38961,04,V.65,MOTOR ELECTRICO 12W FBS12Y4EC4024L,26101700,,,G01,C - REFACCIONES,CB - AIRE ACONDICIONADO Y REFRIGERACIÓN,MOTOR P/AHORRO ENERGIA CF,ME,47,003,V65,14,42.28,USD,17.2925,Cadena Comercial Oxxo S.A. De C.V.,CCO8605231N4,00099,03MTL,17FAA,31CCI,2417270,,UMS100217894,REGAL BELOIT DE MEXICO S DE RL DE CV,73042
66031072,,Directos,2026-02-06,414794,38962,04,V.65,MOTOR ELECTRICO 1/15 5SME59BVA2070MS,26101700,,,G01,C - REFACCIONES,CB - AIRE ACONDICIONADO Y REFRIGERACIÓN,MOTOR P/AHORRO ENERGIA CF,ME,47,003,V65,70,82.84,USD,17.2925,Cadena Comercial Oxxo S.A. De C.V.,CCO8605231N4,00099,03MTL,17FAA,31CCI,2417270,,UMS100217894,REGAL BELOIT DE MEXICO S DE RL DE CV,73042
66033548,,Directos,2026-02-06,414795,38960,04,V.65,MOTOR ELECTRICO 1/10 5SME59CLI2215AM,26101700,,,G01,C - REFACCIONES,CB - AIRE ACONDICIONADO Y REFRIGERACIÓN,MOTOR P/AHORRO ENERGIA CF,ME,47,003,V65,56,93.07,USD,17.2925,Cadena Comercial Oxxo S.A. De C.V.,CCO8605231N4,00099,03MTL,17FAA,31CCI,2417270,,UMS100217894,REGAL BELOIT DE MEXICO S DE RL DE CV,73043
66025704,,Directos,2026-02-06,414782,40662,04,R.10,CONGELADOR HORIZONTAL DUAL 2M,40101700,Y,Y,G01,Y - REFRIGERACIÓN,YB - ENFRIADORES,REFRIGERADOR,ME,47,028,R10,30,42113,MXN,1,Cadena Comercial Oxxo S.A. De C.V.,CCO8605231N4,00099,03MTL,17FAA,31CCI,2415606,43,FER7905095A0,FABRICANTES DE EQUIPOS PARA REFRIGERACION SA DE CV,FAC-468189
66027952,,Directos,2026-02-06,414784,16719,04,N.65,EXHIBIDOR DE PISO DE 40 x 40 x 115 CMS 1 CARA COLOR NEGRO,56131700,Y,N,G01,H - MOBILIARIO,HB - EXHIBIDORES ESPECIALES,EXHIBIDOR DE BEBIDAS NEGRO,ME,45,001,N65,4,2900,MXN,1,Cadena Comercial Oxxo S.A. De C.V.,CCO8605231N4,00099,03MTL,17FAA,31CCI,2415614,1993,HGA1512236D5,HOLDIN GAINS SA DE CV,HG-2613938
66028708,,Directos,2026-02-06,414783,16719,04,N.65,EXHIBIDOR DE PISO DE 40 x 40 x 115 CMS 1 CARA COLOR NEGRO,56131700,Y,N,G01,H - MOBILIARIO,HB - EXHIBIDORES ESPECIALES,EXHIBIDOR DE BEBIDAS NEGRO,ME,45,001,N65,116,2900,MXN,1,Cadena Comercial Oxxo S.A. De C.V.,CCO8605231N4,00099,03MTL,17FAA,31CCI,2415614,1993,HGA1512236D5,HOLDIN GAINS SA DE CV,HG-2613937
66034058,,Directos,2026-02-06,414796,28221,04,J.19,CANASTILLA DULCERA DE 30 X 91 GRIS,56131700,,,G01,H - MOBILIARIO,HD - ACCESORIOS DE GONDOLA,CHAROLAS DULCERAS GRIS,ME,45,009,J19,131,205.69,MXN,1,Cadena Comercial Oxxo S.A. De C.V.,CCO8605231N4,00099,03MTL,17FAA,31CCI,2417549,1,IRS170425LG9,INDUSTRIA RACSO STORE SA DE CV,B-916
